# timestamp tx ty tz qx qy qz qw
1741150183.331078529 353865.800094 4032296.021959 0.000123 0.0 0.0 0.0 1.0
1741150183.633660316 353865.800290 4032296.023344 -0.000451 0.0 0.0 0.0 1.0
1741150183.633660316 353865.800290 4032296.023344 -0.000451 0.0 0.0 0.0 1.0
1741150183.633660316 353865.800290 4032296.023344 -0.000451 0.0 0.0 0.0 1.0
1741150183.835387230 353865.802606 4032296.022384 0.001443 0.0 0.0 0.0 1.0
1741150183.835387230 353865.802606 4032296.022384 0.001443 0.0 0.0 0.0 1.0
1741150184.137957573 353865.803951 4032296.021741 0.000975 0.0 0.0 0.0 1.0
1741150184.137957573 353865.803951 4032296.021741 0.000975 0.0 0.0 0.0 1.0
1741150184.137957573 353865.803951 4032296.021741 0.000975 0.0 0.0 0.0 1.0
1741150184.137957573 353865.803951 4032296.021741 0.000975 0.0 0.0 0.0 1.0
1741150184.541403055 353865.802236 4032296.024633 -0.002429 0.0 0.0 0.0 1.0
1741150184.541403055 353865.802236 4032296.024633 -0.002429 0.0 0.0 0.0 1.0
1741150184.541403055 353865.802236 4032296.024633 -0.002429 0.0 0.0 0.0 1.0
1741150184.541403055 353865.802236 4032296.024633 -0.002429 0.0 0.0 0.0 1.0
1741150184.541403055 353865.802236 4032296.024633 -0.002429 0.0 0.0 0.0 1.0
1741150184.541403055 353865.802236 4032296.024633 -0.002429 0.0 0.0 0.0 1.0
1741150184.541403055 353865.802236 4032296.024633 -0.002429 0.0 0.0 0.0 1.0
1741150184.541403055 353865.802236 4032296.024633 -0.002429 0.0 0.0 0.0 1.0
1741150184.541403055 353865.802236 4032296.024633 -0.002429 0.0 0.0 0.0 1.0
1741150185.348284245 353865.795620 4032296.014062 0.001956 0.0 0.0 0.0 1.0
1741150185.348284245 353865.795620 4032296.014062 0.001956 0.0 0.0 0.0 1.0
1741150185.650869846 353865.794033 4032296.013969 -0.000541 0.0 0.0 0.0 1.0
1741150185.650869846 353865.794033 4032296.013969 -0.000541 0.0 0.0 0.0 1.0
1741150185.650869846 353865.794033 4032296.013969 -0.000541 0.0 0.0 0.0 1.0
1741150185.953444004 353865.793685 4032296.014906 0.001731 0.0 0.0 0.0 1.0
1741150185.953444004 353865.793685 4032296.014906 0.001731 0.0 0.0 0.0 1.0
1741150185.953444004 353865.793685 4032296.014906 0.001731 0.0 0.0 0.0 1.0
1741150186.155251503 353865.797727 4032296.017097 0.003785 0.0 0.0 0.0 1.0
1741150186.356886387 353865.797182 4032296.014972 0.001652 0.0 0.0 0.0 1.0
1741150186.356886387 353865.797182 4032296.014972 0.001652 0.0 0.0 0.0 1.0
1741150186.356886387 353865.797182 4032296.014972 0.001652 0.0 0.0 0.0 1.0
1741150186.558604956 353865.792818 4032296.016251 0.006302 0.0 0.0 0.0 1.0
1741150186.558604956 353865.792818 4032296.016251 0.006302 0.0 0.0 0.0 1.0
1741150186.861189842 353865.793958 4032296.014230 0.004395 0.0 0.0 0.0 1.0
1741150186.861189842 353865.793958 4032296.014230 0.004395 0.0 0.0 0.0 1.0
1741150187.062909603 353865.798595 4032296.019617 -0.001629 0.0 0.0 0.0 1.0
1741150187.062909603 353865.798595 4032296.019617 -0.001629 0.0 0.0 0.0 1.0
1741150187.062909603 353865.798595 4032296.019617 -0.001629 0.0 0.0 0.0 1.0
1741150187.365482807 353865.795288 4032296.017023 0.001181 0.0 0.0 0.0 1.0
1741150187.365482807 353865.795288 4032296.017023 0.001181 0.0 0.0 0.0 1.0
1741150187.567204714 353865.802355 4032296.013644 0.000551 0.0 0.0 0.0 1.0
1741150187.567204714 353865.802355 4032296.013644 0.000551 0.0 0.0 0.0 1.0
1741150187.768931389 353865.796325 4032296.008087 -0.005683 0.0 0.0 0.0 1.0
1741150187.768931389 353865.796325 4032296.008087 -0.005683 0.0 0.0 0.0 1.0
1741150187.970650673 353865.794543 4032296.000811 -0.006857 0.0 0.0 0.0 1.0
1741150187.970650673 353865.794543 4032296.000811 -0.006857 0.0 0.0 0.0 1.0
1741150187.970650673 353865.794543 4032296.000811 -0.006857 0.0 0.0 0.0 1.0
1741150187.970650673 353865.794543 4032296.000811 -0.006857 0.0 0.0 0.0 1.0
1741150188.374090672 353865.789199 4032295.999851 -0.004897 0.0 0.0 0.0 1.0
1741150188.374090672 353865.789199 4032295.999851 -0.004897 0.0 0.0 0.0 1.0
1741150188.575809002 353865.786252 4032296.000219 -0.001923 0.0 0.0 0.0 1.0
1741150188.575809002 353865.786252 4032296.000219 -0.001923 0.0 0.0 0.0 1.0
1741150188.777528048 353865.779794 4032295.994176 -0.005155 0.0 0.0 0.0 1.0
1741150188.777528048 353865.779794 4032295.994176 -0.005155 0.0 0.0 0.0 1.0
1741150188.979249954 353865.782137 4032296.003174 -0.005314 0.0 0.0 0.0 1.0
1741150188.979249954 353865.782137 4032296.003174 -0.005314 0.0 0.0 0.0 1.0
1741150189.180977821 353865.782560 4032296.001904 -0.002513 0.0 0.0 0.0 1.0
1741150189.180977821 353865.782560 4032296.001904 -0.002513 0.0 0.0 0.0 1.0
1741150189.180977821 353865.782560 4032296.001904 -0.002513 0.0 0.0 0.0 1.0
1741150189.483551979 353865.779003 4032296.002034 0.002498 0.0 0.0 0.0 1.0
1741150189.483551979 353865.779003 4032296.002034 0.002498 0.0 0.0 0.0 1.0
1741150189.483551979 353865.779003 4032296.002034 0.002498 0.0 0.0 0.0 1.0
1741150189.685263634 353865.781937 4032295.999970 -0.004659 0.0 0.0 0.0 1.0
1741150189.685263634 353865.781937 4032295.999970 -0.004659 0.0 0.0 0.0 1.0
1741150189.685263634 353865.781937 4032295.999970 -0.004659 0.0 0.0 0.0 1.0
1741150189.685263634 353865.781937 4032295.999970 -0.004659 0.0 0.0 0.0 1.0
1741150190.189574957 353865.781951 4032296.000420 0.002180 0.0 0.0 0.0 1.0
1741150190.189574957 353865.781951 4032296.000420 0.002180 0.0 0.0 0.0 1.0
1741150190.189574957 353865.781951 4032296.000420 0.002180 0.0 0.0 0.0 1.0
1741150190.492156506 353865.786227 4032295.999498 -0.000501 0.0 0.0 0.0 1.0
1741150190.492156506 353865.786227 4032295.999498 -0.000501 0.0 0.0 0.0 1.0
1741150190.492156506 353865.786227 4032295.999498 -0.000501 0.0 0.0 0.0 1.0
1741150190.492156506 353865.786227 4032295.999498 -0.000501 0.0 0.0 0.0 1.0
1741150190.492156506 353865.786227 4032295.999498 -0.000501 0.0 0.0 0.0 1.0
1741150190.996452570 353865.783427 4032296.003596 -0.002530 0.0 0.0 0.0 1.0
1741150190.996452570 353865.783427 4032296.003596 -0.002530 0.0 0.0 0.0 1.0
1741150191.198179245 353865.792889 4032296.008090 -0.000508 0.0 0.0 0.0 1.0
1741150191.198179245 353865.792889 4032296.008090 -0.000508 0.0 0.0 0.0 1.0
1741150191.399898529 353865.791204 4032296.008122 -0.003604 0.0 0.0 0.0 1.0
1741150191.399898529 353865.791204 4032296.008122 -0.003604 0.0 0.0 0.0 1.0
1741150191.399898529 353865.791204 4032296.008122 -0.003604 0.0 0.0 0.0 1.0
1741150191.601621151 353865.784330 4032296.000985 -0.005440 0.0 0.0 0.0 1.0
1741150191.601621151 353865.784330 4032296.000985 -0.005440 0.0 0.0 0.0 1.0
1741150191.904197693 353865.787281 4032296.000828 -0.005175 0.0 0.0 0.0 1.0
1741150191.904197693 353865.787281 4032296.000828 -0.005175 0.0 0.0 0.0 1.0
1741150192.105914593 353865.782681 4032296.004540 -0.005929 0.0 0.0 0.0 1.0
1741150192.105914593 353865.782681 4032296.004540 -0.005929 0.0 0.0 0.0 1.0
1741150192.105914593 353865.782681 4032296.004540 -0.005929 0.0 0.0 0.0 1.0
1741150192.307638168 353865.790591 4032296.007249 -0.000760 0.0 0.0 0.0 1.0
1741150192.307638168 353865.790591 4032296.007249 -0.000760 0.0 0.0 0.0 1.0
1741150192.307638168 353865.790591 4032296.007249 -0.000760 0.0 0.0 0.0 1.0
1741150192.610217571 353865.792300 4032296.011240 -0.003834 0.0 0.0 0.0 1.0
1741150192.811943054 353865.801653 4032296.014202 -0.003486 0.0 0.0 0.0 1.0
1741150192.811943054 353865.801653 4032296.014202 -0.003486 0.0 0.0 0.0 1.0
1741150192.811943054 353865.801653 4032296.014202 -0.003486 0.0 0.0 0.0 1.0
1741150192.811943054 353865.801653 4032296.014202 -0.003486 0.0 0.0 0.0 1.0
1741150193.114549637 353865.801595 4032296.016790 -0.003634 0.0 0.0 0.0 1.0
1741150193.114549637 353865.801595 4032296.016790 -0.003634 0.0 0.0 0.0 1.0
1741150193.316242218 353865.798040 4032296.019172 -0.002347 0.0 0.0 0.0 1.0
1741150193.316242218 353865.798040 4032296.019172 -0.002347 0.0 0.0 0.0 1.0
1741150193.316242218 353865.798040 4032296.019172 -0.002347 0.0 0.0 0.0 1.0
1741150193.517962694 353865.798107 4032296.016336 -0.003096 0.0 0.0 0.0 1.0
1741150193.517962694 353865.798107 4032296.016336 -0.003096 0.0 0.0 0.0 1.0
1741150193.517962694 353865.798107 4032296.016336 -0.003096 0.0 0.0 0.0 1.0
1741150193.517962694 353865.798107 4032296.016336 -0.003096 0.0 0.0 0.0 1.0
1741150193.820544481 353865.797327 4032296.016531 -0.003425 0.0 0.0 0.0 1.0
1741150194.022265673 353865.797775 4032296.015477 -0.003327 0.0 0.0 0.0 1.0
1741150194.022265673 353865.797775 4032296.015477 -0.003327 0.0 0.0 0.0 1.0
1741150194.324839592 353865.793911 4032296.015347 -0.004232 0.0 0.0 0.0 1.0
1741150194.324839592 353865.793911 4032296.015347 -0.004232 0.0 0.0 0.0 1.0
1741150194.324839592 353865.793911 4032296.015347 -0.004232 0.0 0.0 0.0 1.0
1741150194.627426863 353865.791510 4032296.016507 -0.002560 0.0 0.0 0.0 1.0
1741150194.627426863 353865.791510 4032296.016507 -0.002560 0.0 0.0 0.0 1.0
1741150194.627426863 353865.791510 4032296.016507 -0.002560 0.0 0.0 0.0 1.0
1741150194.627426863 353865.791510 4032296.016507 -0.002560 0.0 0.0 0.0 1.0
1741150195.030864716 353865.798359 4032296.014667 0.027470 0.0 0.0 0.0 1.0
1741150195.030864716 353865.798359 4032296.014667 0.027470 0.0 0.0 0.0 1.0
1741150195.232589006 353865.844266 4032296.021237 0.030574 0.0 0.0 0.0 1.0
1741150195.232589006 353865.844266 4032296.021237 0.030574 0.0 0.0 0.0 1.0
1741150195.434299946 353865.929107 4032296.035445 0.038095 0.0 0.0 0.0 1.0
1741150195.434299946 353865.929107 4032296.035445 0.038095 0.0 0.0 0.0 1.0
1741150195.434299946 353865.929107 4032296.035445 0.038095 0.0 0.0 0.0 1.0
1741150195.736889124 353866.061062 4032296.064222 0.029981 0.0 0.0 0.0 1.0
1741150195.736889124 353866.061062 4032296.064222 0.029981 0.0 0.0 0.0 1.0
1741150195.938603401 353866.143919 4032296.089672 0.033653 0.0 0.0 0.0 1.0
1741150195.938603401 353866.143919 4032296.089672 0.033653 0.0 0.0 0.0 1.0
1741150196.140327454 353866.221633 4032296.104286 0.029911 0.0 0.0 0.0 1.0
1741150196.140327454 353866.221633 4032296.104286 0.029911 0.0 0.0 0.0 1.0
1741150196.140327454 353866.221633 4032296.104286 0.029911 0.0 0.0 0.0 1.0
1741150196.140327454 353866.221633 4032296.104286 0.029911 0.0 0.0 0.0 1.0
1741150196.140327454 353866.221633 4032296.104286 0.029911 0.0 0.0 0.0 1.0
1741150196.140327454 353866.221633 4032296.104286 0.029911 0.0 0.0 0.0 1.0
1741150196.644627571 353866.411036 4032296.153640 0.021108 0.0 0.0 0.0 1.0
1741150196.644627571 353866.411036 4032296.153640 0.021108 0.0 0.0 0.0 1.0
1741150196.644627571 353866.411036 4032296.153640 0.021108 0.0 0.0 0.0 1.0
1741150196.947212219 353866.523666 4032296.176436 0.023404 0.0 0.0 0.0 1.0
1741150196.947212219 353866.523666 4032296.176436 0.023404 0.0 0.0 0.0 1.0
1741150197.249796867 353866.616803 4032296.213730 0.022848 0.0 0.0 0.0 1.0
1741150197.249796867 353866.616803 4032296.213730 0.022848 0.0 0.0 0.0 1.0
1741150197.249796867 353866.616803 4032296.213730 0.022848 0.0 0.0 0.0 1.0
1741150197.249796867 353866.616803 4032296.213730 0.022848 0.0 0.0 0.0 1.0
1741150197.249796867 353866.616803 4032296.213730 0.022848 0.0 0.0 0.0 1.0
1741150197.552370071 353866.689194 4032296.228198 0.032352 0.0 0.0 0.0 1.0
1741150197.552370071 353866.689194 4032296.228198 0.032352 0.0 0.0 0.0 1.0
1741150197.552370071 353866.689194 4032296.228198 0.032352 0.0 0.0 0.0 1.0
1741150197.552370071 353866.689194 4032296.228198 0.032352 0.0 0.0 0.0 1.0
1741150198.157534599 353866.863731 4032296.294839 0.024938 0.0 0.0 0.0 1.0
1741150198.157534599 353866.863731 4032296.294839 0.024938 0.0 0.0 0.0 1.0
1741150198.359257698 353866.903566 4032296.310065 0.021588 0.0 0.0 0.0 1.0
1741150198.359257698 353866.903566 4032296.310065 0.021588 0.0 0.0 0.0 1.0
1741150198.359257698 353866.903566 4032296.310065 0.021588 0.0 0.0 0.0 1.0
1741150198.661838055 353866.972113 4032296.326470 0.025385 0.0 0.0 0.0 1.0
1741150198.661838055 353866.972113 4032296.326470 0.025385 0.0 0.0 0.0 1.0
1741150198.661838055 353866.972113 4032296.326470 0.025385 0.0 0.0 0.0 1.0
1741150198.863550186 353867.013225 4032296.345452 0.033423 0.0 0.0 0.0 1.0
1741150198.863550186 353867.013225 4032296.345452 0.033423 0.0 0.0 0.0 1.0
1741150198.863550186 353867.013225 4032296.345452 0.033423 0.0 0.0 0.0 1.0
1741150198.863550186 353867.013225 4032296.345452 0.033423 0.0 0.0 0.0 1.0
1741150199.367848158 353867.145435 4032296.377507 0.029424 0.0 0.0 0.0 1.0
1741150199.367848158 353867.145435 4032296.377507 0.029424 0.0 0.0 0.0 1.0
1741150199.569651365 353867.200521 4032296.396105 0.025993 0.0 0.0 0.0 1.0
1741150199.569651365 353867.200521 4032296.396105 0.025993 0.0 0.0 0.0 1.0
1741150199.569651365 353867.200521 4032296.396105 0.025993 0.0 0.0 0.0 1.0
1741150199.771291733 353867.249785 4032296.414388 0.027655 0.0 0.0 0.0 1.0
1741150199.771291733 353867.249785 4032296.414388 0.027655 0.0 0.0 0.0 1.0
1741150200.073871374 353867.332170 4032296.443816 0.026955 0.0 0.0 0.0 1.0
1741150200.073871374 353867.332170 4032296.443816 0.026955 0.0 0.0 0.0 1.0
1741150200.275595665 353867.389895 4032296.469953 0.021066 0.0 0.0 0.0 1.0
1741150200.275595665 353867.389895 4032296.469953 0.021066 0.0 0.0 0.0 1.0
1741150200.275595665 353867.389895 4032296.469953 0.021066 0.0 0.0 0.0 1.0
1741150200.477312565 353867.460262 4032296.504529 0.020122 0.0 0.0 0.0 1.0
1741150200.477312565 353867.460262 4032296.504529 0.020122 0.0 0.0 0.0 1.0
1741150200.779891014 353867.541369 4032296.539033 0.019181 0.0 0.0 0.0 1.0
1741150200.779891014 353867.541369 4032296.539033 0.019181 0.0 0.0 0.0 1.0
1741150200.981616974 353867.610133 4032296.572774 0.029698 0.0 0.0 0.0 1.0
1741150200.981616974 353867.610133 4032296.572774 0.029698 0.0 0.0 0.0 1.0
1741150201.183331728 353867.666987 4032296.586767 0.025707 0.0 0.0 0.0 1.0
1741150201.183331728 353867.666987 4032296.586767 0.025707 0.0 0.0 0.0 1.0
1741150201.183331728 353867.666987 4032296.586767 0.025707 0.0 0.0 0.0 1.0
1741150201.183331728 353867.666987 4032296.586767 0.025707 0.0 0.0 0.0 1.0
1741150201.385060787 353867.733323 4032296.618051 0.022919 0.0 0.0 0.0 1.0
1741150201.687683105 353867.820628 4032296.637134 0.031335 0.0 0.0 0.0 1.0
1741150201.687683105 353867.820628 4032296.637134 0.031335 0.0 0.0 0.0 1.0
1741150201.889353752 353867.882188 4032296.630940 0.029676 0.0 0.0 0.0 1.0
1741150201.889353752 353867.882188 4032296.630940 0.029676 0.0 0.0 0.0 1.0
1741150201.889353752 353867.882188 4032296.630940 0.029676 0.0 0.0 0.0 1.0
1741150202.091076851 353867.949805 4032296.638351 0.031211 0.0 0.0 0.0 1.0
1741150202.292802811 353868.017307 4032296.648495 0.036967 0.0 0.0 0.0 1.0
1741150202.292802811 353868.017307 4032296.648495 0.036967 0.0 0.0 0.0 1.0
1741150202.494522572 353868.092995 4032296.653080 0.039557 0.0 0.0 0.0 1.0
1741150202.494522572 353868.092995 4032296.653080 0.039557 0.0 0.0 0.0 1.0
1741150202.494522572 353868.092995 4032296.653080 0.039557 0.0 0.0 0.0 1.0
1741150202.696241379 353868.134119 4032296.655526 0.035342 0.0 0.0 0.0 1.0
1741150202.696241379 353868.134119 4032296.655526 0.035342 0.0 0.0 0.0 1.0
1741150202.998823643 353868.209150 4032296.647877 0.015199 0.0 0.0 0.0 1.0
1741150202.998823643 353868.209150 4032296.647877 0.015199 0.0 0.0 0.0 1.0
1741150202.998823643 353868.209150 4032296.647877 0.015199 0.0 0.0 0.0 1.0
1741150203.200541496 353868.241431 4032296.655511 0.019169 0.0 0.0 0.0 1.0
1741150203.402290821 353868.261984 4032296.662106 0.024224 0.0 0.0 0.0 1.0
1741150203.402290821 353868.261984 4032296.662106 0.024224 0.0 0.0 0.0 1.0
1741150203.402290821 353868.261984 4032296.662106 0.024224 0.0 0.0 0.0 1.0
1741150203.603986740 353868.286687 4032296.687795 0.027452 0.0 0.0 0.0 1.0
1741150203.603986740 353868.286687 4032296.687795 0.027452 0.0 0.0 0.0 1.0
1741150203.603986740 353868.286687 4032296.687795 0.027452 0.0 0.0 0.0 1.0
1741150203.906564474 353868.358894 4032296.696931 0.028644 0.0 0.0 0.0 1.0
1741150203.906564474 353868.358894 4032296.696931 0.028644 0.0 0.0 0.0 1.0
1741150203.906564474 353868.358894 4032296.696931 0.028644 0.0 0.0 0.0 1.0
1741150204.108280659 353868.414688 4032296.699756 0.031381 0.0 0.0 0.0 1.0
1741150204.108280659 353868.414688 4032296.699756 0.031381 0.0 0.0 0.0 1.0
1741150204.108280659 353868.414688 4032296.699756 0.031381 0.0 0.0 0.0 1.0
1741150204.108280659 353868.414688 4032296.699756 0.031381 0.0 0.0 0.0 1.0
1741150204.108280659 353868.414688 4032296.699756 0.031381 0.0 0.0 0.0 1.0
1741150204.108280659 353868.414688 4032296.699756 0.031381 0.0 0.0 0.0 1.0
1741150204.108280659 353868.414688 4032296.699756 0.031381 0.0 0.0 0.0 1.0
1741150204.108280659 353868.414688 4032296.699756 0.031381 0.0 0.0 0.0 1.0
1741150204.410867214 353868.529007 4032296.717901 0.022099 0.0 0.0 0.0 1.0
1741150205.016027451 353868.860522 4032296.769421 0.010962 0.0 0.0 0.0 1.0
1741150205.217741013 353868.991935 4032296.816314 0.007016 0.0 0.0 0.0 1.0
1741150205.217741013 353868.991935 4032296.816314 0.007016 0.0 0.0 0.0 1.0
1741150205.419467926 353869.136412 4032296.831021 0.029439 0.0 0.0 0.0 1.0
1741150205.419467926 353869.136412 4032296.831021 0.029439 0.0 0.0 0.0 1.0
1741150205.419467926 353869.136412 4032296.831021 0.029439 0.0 0.0 0.0 1.0
1741150205.419467926 353869.136412 4032296.831021 0.029439 0.0 0.0 0.0 1.0
1741150205.419467926 353869.136412 4032296.831021 0.029439 0.0 0.0 0.0 1.0
1741150205.923766613 353869.538218 4032296.909716 0.010778 0.0 0.0 0.0 1.0
